goos: darwin
goarch: amd64
pkg: github.com/philpearl/blog/content/post
BenchmarkEncodeMarshaler/encoding/json-16         	 3699237	       329 ns/op	     240 B/op	       6 allocs/op
BenchmarkEncodeMarshaler/encoding/json-16         	 3693334	       331 ns/op	     240 B/op	       6 allocs/op
BenchmarkEncodeMarshaler/encoding/json-16         	 3606147	       339 ns/op	     240 B/op	       6 allocs/op
BenchmarkEncodeMarshaler/encoding/json-16         	 3597388	       337 ns/op	     240 B/op	       6 allocs/op
BenchmarkEncodeMarshaler/encoding/json-16         	 3487638	       335 ns/op	     240 B/op	       6 allocs/op
BenchmarkEncodeMarshaler/encoding/json-16         	 3634972	       337 ns/op	     240 B/op	       6 allocs/op
BenchmarkEncodeMarshaler/encoding/json-16         	 3570930	       356 ns/op	     240 B/op	       6 allocs/op
BenchmarkEncodeMarshaler/encoding/json-16         	 3269452	       370 ns/op	     240 B/op	       6 allocs/op
BenchmarkEncodeMarshaler/jsoniter-16              	 4680126	       258 ns/op	     248 B/op	       7 allocs/op
BenchmarkEncodeMarshaler/jsoniter-16              	 4639765	       258 ns/op	     248 B/op	       7 allocs/op
BenchmarkEncodeMarshaler/jsoniter-16              	 4747440	       245 ns/op	     248 B/op	       7 allocs/op
BenchmarkEncodeMarshaler/jsoniter-16              	 4858926	       245 ns/op	     248 B/op	       7 allocs/op
BenchmarkEncodeMarshaler/jsoniter-16              	 4973893	       246 ns/op	     248 B/op	       7 allocs/op
BenchmarkEncodeMarshaler/jsoniter-16              	 4649164	       263 ns/op	     248 B/op	       7 allocs/op
BenchmarkEncodeMarshaler/jsoniter-16              	 4703337	       253 ns/op	     248 B/op	       7 allocs/op
BenchmarkEncodeMarshaler/jsoniter-16              	 4859365	       246 ns/op	     248 B/op	       7 allocs/op
BenchmarkEncodeMarshaler/easyjson-16              	 6009585	       203 ns/op	     336 B/op	       4 allocs/op
BenchmarkEncodeMarshaler/easyjson-16              	 5872756	       201 ns/op	     336 B/op	       4 allocs/op
BenchmarkEncodeMarshaler/easyjson-16              	 6436911	       191 ns/op	     336 B/op	       4 allocs/op
BenchmarkEncodeMarshaler/easyjson-16              	 6193792	       190 ns/op	     336 B/op	       4 allocs/op
BenchmarkEncodeMarshaler/easyjson-16              	 6011020	       198 ns/op	     336 B/op	       4 allocs/op
BenchmarkEncodeMarshaler/easyjson-16              	 6254181	       196 ns/op	     336 B/op	       4 allocs/op
BenchmarkEncodeMarshaler/easyjson-16              	 6202254	       195 ns/op	     336 B/op	       4 allocs/op
BenchmarkEncodeMarshaler/easyjson-16              	 6202480	       194 ns/op	     336 B/op	       4 allocs/op
BenchmarkDecodeMarshaler/encoding/json-16         	 2367913	       511 ns/op	     512 B/op	       9 allocs/op
BenchmarkDecodeMarshaler/encoding/json-16         	 2357994	       506 ns/op	     512 B/op	       9 allocs/op
BenchmarkDecodeMarshaler/encoding/json-16         	 2296911	       522 ns/op	     512 B/op	       9 allocs/op
BenchmarkDecodeMarshaler/encoding/json-16         	 2311048	       508 ns/op	     512 B/op	       9 allocs/op
BenchmarkDecodeMarshaler/encoding/json-16         	 2357784	       503 ns/op	     512 B/op	       9 allocs/op
BenchmarkDecodeMarshaler/encoding/json-16         	 2436678	       495 ns/op	     512 B/op	       9 allocs/op
BenchmarkDecodeMarshaler/encoding/json-16         	 2355548	       511 ns/op	     512 B/op	       9 allocs/op
BenchmarkDecodeMarshaler/encoding/json-16         	 2359420	       508 ns/op	     512 B/op	       9 allocs/op
BenchmarkDecodeMarshaler/jsoniter-16              	 2521059	       474 ns/op	     597 B/op	      16 allocs/op
BenchmarkDecodeMarshaler/jsoniter-16              	 2541825	       471 ns/op	     597 B/op	      16 allocs/op
BenchmarkDecodeMarshaler/jsoniter-16              	 2586194	       480 ns/op	     597 B/op	      16 allocs/op
BenchmarkDecodeMarshaler/jsoniter-16              	 2519658	       473 ns/op	     597 B/op	      16 allocs/op
BenchmarkDecodeMarshaler/jsoniter-16              	 2506248	       473 ns/op	     597 B/op	      16 allocs/op
BenchmarkDecodeMarshaler/jsoniter-16              	 2621881	       465 ns/op	     597 B/op	      16 allocs/op
BenchmarkDecodeMarshaler/jsoniter-16              	 2587038	       465 ns/op	     597 B/op	      16 allocs/op
BenchmarkDecodeMarshaler/jsoniter-16              	 2587291	       478 ns/op	     597 B/op	      16 allocs/op
BenchmarkDecodeMarshaler/easyjson-16              	 5300647	       227 ns/op	     229 B/op	       4 allocs/op
BenchmarkDecodeMarshaler/easyjson-16              	 5286337	       226 ns/op	     229 B/op	       4 allocs/op
BenchmarkDecodeMarshaler/easyjson-16              	 5253194	       227 ns/op	     229 B/op	       4 allocs/op
BenchmarkDecodeMarshaler/easyjson-16              	 5280488	       221 ns/op	     229 B/op	       4 allocs/op
BenchmarkDecodeMarshaler/easyjson-16              	 5414316	       220 ns/op	     229 B/op	       4 allocs/op
BenchmarkDecodeMarshaler/easyjson-16              	 5462076	       221 ns/op	     229 B/op	       4 allocs/op
BenchmarkDecodeMarshaler/easyjson-16              	 5450266	       226 ns/op	     229 B/op	       4 allocs/op
BenchmarkDecodeMarshaler/easyjson-16              	 5252436	       227 ns/op	     229 B/op	       4 allocs/op
PASS
ok  	github.com/philpearl/blog/content/post	74.264s
